case_type,track_id,label_index,label,true,bert_probability,bert_prediction,fusion_probability,fusion_prediction,fusion_minus_bert_probability
correct_high_confidence,mc_PIIAyM4H1UE_100_110,18,acoustic guitar,0,0.03149937838315964,0,3.814802767010406e-06,0,-0.03149556358039263
correct_high_confidence,mc_PIIAyM4H1UE_100_110,19,piano,0,0.03753800690174103,0,2.8194201604492264e-06,0,-0.03753518748158058
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,0,low quality,0,0.0572819747030735,0,0.0008250873070210218,0,-0.05645688739605248
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,1,instrumental,0,0.12754392623901367,0,0.0042013260535895824,0,-0.12334260018542409
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,2,medium tempo,0,0.07133200019598007,0,0.001376377884298563,0,-0.06995562231168151
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,3,fast tempo,0,0.19759924709796906,0,0.1009383276104927,0,-0.09666091948747635
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,4,noisy,0,0.030675802379846573,0,0.00011110601190011948,0,-0.030564696367946453
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,5,emotional,0,0.02517884224653244,0,7.453257921952172e-07,0,-0.025178096920740245
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,6,energetic,0,0.10338596254587173,0,0.00017517540254630148,0,-0.10321078714332543
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,7,passionate,0,0.021409768611192703,0,4.0204922697739676e-05,0,-0.021369563688494964
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,8,amateur recording,0,0.030157409608364105,0,4.918562626698986e-05,0,-0.030108223982097115
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,9,bass guitar,0,0.04698663949966431,0,0.0027770795859396458,0,-0.04420955991372466
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,10,electric guitar,0,0.02373468689620495,0,4.906105459667742e-06,0,-0.02372978079074528
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,11,live performance,1,0.016657039523124695,0,1.947359305631835e-05,0,-0.016637565930068376
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,12,slow tempo,0,0.10034840553998947,0,0.0003545524086803198,0,-0.09999385313130915
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,13,male vocal,0,0.025419652462005615,0,2.7717926059267484e-05,0,-0.025391934535946348
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,14,mono,0,0.023109277710318565,0,6.0799870880146045e-06,0,-0.02310319772323055
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,15,acoustic drums,0,0.027169233188033104,0,3.956011642003432e-05,0,-0.02712967307161307
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,16,groovy,0,0.11221037805080414,0,0.0006238591158762574,0,-0.11158651893492788
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,17,no voices,0,0.0398624911904335,0,2.126635990862269e-05,0,-0.03984122483052488
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,18,acoustic guitar,0,0.019985152408480644,0,3.598137936933199e-06,0,-0.01998155427054371
incorrect_high_confidence,mc_yuWjB3XA8tc_480_490,19,piano,0,0.049681153148412704,0,0.00012882087321486324,0,-0.04955233227519784
hard_near_threshold,mc_RFbWkL818XQ_30_40,0,low quality,0,0.6868953704833984,0,0.690841019153595,0,0.003945648670196533
hard_near_threshold,mc_RFbWkL818XQ_30_40,1,instrumental,1,0.8568122982978821,1,0.9170762300491333,1,0.06026393175125122
hard_near_threshold,mc_RFbWkL818XQ_30_40,2,medium tempo,1,0.9798612594604492,1,0.9900978803634644,1,0.010236620903015137
hard_near_threshold,mc_RFbWkL818XQ_30_40,3,fast tempo,0,0.08993301540613174,0,0.008475479669868946,0,-0.0814575357362628
hard_near_threshold,mc_RFbWkL818XQ_30_40,4,noisy,0,0.05707139894366264,0,0.0008423762046732008,0,-0.05622902273898944
hard_near_threshold,mc_RFbWkL818XQ_30_40,5,emotional,0,0.552117109298706,0,0.6920890808105469,0,0.13997197151184082
hard_near_threshold,mc_RFbWkL818XQ_30_40,6,energetic,0,0.8073087334632874,1,0.9568458199501038,1,0.1495370864868164
hard_near_threshold,mc_RFbWkL818XQ_30_40,7,passionate,0,0.5957865715026855,0,0.48761168122291565,0,-0.1081748902797699
hard_near_threshold,mc_RFbWkL818XQ_30_40,8,amateur recording,0,0.11920291930437088,0,0.008826084434986115,0,-0.11037683486938477
hard_near_threshold,mc_RFbWkL818XQ_30_40,9,bass guitar,0,0.0586685985326767,0,0.030435005202889442,0,-0.028233593329787254
hard_near_threshold,mc_RFbWkL818XQ_30_40,10,electric guitar,0,0.0593191459774971,0,0.0013030761620029807,0,-0.05801606981549412
hard_near_threshold,mc_RFbWkL818XQ_30_40,11,live performance,0,0.5805304050445557,0,0.2650381028652191,0,-0.31549230217933655
hard_near_threshold,mc_RFbWkL818XQ_30_40,12,slow tempo,0,0.04958902671933174,0,0.0004573359910864383,0,-0.0491316907282453
hard_near_threshold,mc_RFbWkL818XQ_30_40,13,male vocal,0,0.05813159793615341,0,0.0014281920157372952,0,-0.05670340592041612
hard_near_threshold,mc_RFbWkL818XQ_30_40,14,mono,0,0.04940524324774742,0,0.002015109173953533,0,-0.04739013407379389
hard_near_threshold,mc_RFbWkL818XQ_30_40,15,acoustic drums,0,0.03663136437535286,0,0.0006996744778007269,0,-0.03593168989755213
hard_near_threshold,mc_RFbWkL818XQ_30_40,16,groovy,0,0.6266955137252808,0,0.7713670134544373,1,0.1446714997291565
hard_near_threshold,mc_RFbWkL818XQ_30_40,17,no voices,0,0.04107588902115822,0,0.0001999070809688419,0,-0.040875981940189376
hard_near_threshold,mc_RFbWkL818XQ_30_40,18,acoustic guitar,0,0.10034840553998947,0,0.02485530450940132,0,-0.07549310103058815
hard_near_threshold,mc_RFbWkL818XQ_30_40,19,piano,0,0.06394841521978378,0,0.004407206550240517,0,-0.059541208669543266
